ID,Date,Retweets,Replies,Likes,Quotes,Tweet
1329639298350592000,2020-11-20T04:14:46.000Z,0,0,0,0,"Wonder if the plan with KOFXV all along (or post-covid) was to move it to next-gen. They can take as long as they want, but I really hope they've seen the light on rollback."
1329639296429481987,2020-11-20T04:14:46.000Z,0,0,0,0,@BennyCanuck99 Covid.
1329639296060559363,2020-11-20T04:14:46.000Z,0,0,0,0,Former football coach Lou Holtz tests positive for COVID-19 https://t.co/0b01CbnYsf
1329639295242661891,2020-11-20T04:14:46.000Z,0,0,0,0,@PinonPost @GovMLG Conservatively 300000 abortions performed annually in U.S. got covid beat.
1329639293980086273,2020-11-20T04:14:45.000Z,0,0,0,0,"@realDonaldTrump @RudyGiuliani 

TRUMPS LACK OF ACTION AGAINST COVID-19 IS CRIMINAL.... FORGET ALL THE OTHER SHIT https://t.co/Ss8GeNr5Vi"
1329639293913100290,2020-11-20T04:14:45.000Z,0,0,0,0,"@BlubAtomic @KaleidWinter @TopKirby8305 @shirouofjustice &gt;Covid
&gt;The Movies
&gt;Under the same Sky must have costed a bunch as well"
1329639292952584194,2020-11-20T04:14:45.000Z,0,0,0,0,"Guess whose products I WILL MAKE A POINT OF NEVER EATING AGAIN? Bastards 

Tyson Food managers bet on workers getting Covid-19, lawsuit says https://t.co/QWK1zQvtCd"
1329639385864704000,2020-11-20T04:15:07.000Z,0,0,0,0,@JoeBiden If masks stop the spread of COVID it’s only because all the other disease infecting germs on those nasty cess pools housing masks gang attacked the COVID germs
1329639385483022337,2020-11-20T04:15:07.000Z,0,0,0,0,@Wizard_Predicts At least he has some balls left... us Arizonians thought they were missing after his covid moves.
1329639385449553921,2020-11-20T04:15:07.000Z,0,0,0,0,"@Johnheretohelp I'd add the blatant support &amp; encouragement of the violence, terrorizing neighborhoods, burning businesses turned a lot more Dems off, as well as the so obv targeting of non-left rallies/protests as covid spreaders, while supporting Leftist rioting. Made LOTS more Trump voters."
1329639384006549504,2020-11-20T04:15:07.000Z,0,0,0,0,@govkristinoem Matching the Covid-19 death rate? Kill enough of your citizens and you can get unemployment to zero. #resign
1329639383260082176,2020-11-20T04:15:07.000Z,0,0,0,0,"#FridayThoughts BEEN MASKING FOR MONTHS, Yet still a so-called spike (But magically influenza is down 99%)= MASK DONT WORK ..BUT FLORIDA &amp; SWEDEN has NO lockdowns NO mask= no new Covid issues
EVEN THE NEW DUTCH STUDY CONFIRMS MASK DONT WORK
#stopthelockdown https://t.co/WPX0tukW32"
1329639382232543239,2020-11-20T04:15:06.000Z,0,0,0,0,"@CalebRhodus @AKLienhartMinn @guardian Fun-ner Fact: ""PFAS chemicals, of which PFOA is one, might reduce the efficacy of a Covid-19 vaccine.""

From this very article, the poisoning that DuPont did might prevent us from resolving the pandemic, or drag out the suffering of it longer."
1329639382152724481,2020-11-20T04:15:06.000Z,0,0,0,0,@realDonaldTrump MAGA? Covid #1 in the world? https://t.co/OyNIQAWU29
1329639381884313602,2020-11-20T04:15:06.000Z,0,0,0,0,Davao City back to GCQ as COVID-19 cases rise https://t.co/yEpu2BFftp https://t.co/AoEzZavj0c
