,date,processed_text,tone,score,latitude,longitude,hashtags,place,id
3295,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,33.786594,-118.29866200000001,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Los Angeles, CA",1295787445385072640
3296,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,33.786594,-118.29866200000001,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Los Angeles, CA",1295799775208628226
3297,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,33.786594,-118.29866200000001,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Los Angeles, CA",1295790465271422976
3298,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,41.877589,-87.62818,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Chicago, IL",1295802795887669248
3299,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,41.776983,-87.6404,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Chicago, IL",1295805815664906243
3300,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.867653000000004,-73.92,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1298450476564910080
3301,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1298453515191361536
3302,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.765243,-73.980438,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1298456555063517184
3303,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.752159000000006,-73.97231,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1298447437028372480
3304,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.755494,-73.97447,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1298465666018807813
3305,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.751489,-73.990537,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1298459592440123393
3306,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.780751,-73.977182,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1298468701369438208
3307,5/28/2020,like help billion people? challenge #savetheworld #coronavirus! help friend neighbor recycle soda bottle face shield hero! URL #billionshieldschallenge #faceshield URL ,Joy,0.621749,40.761103999999996,-73.968036,SaveTheWorld Coronavirus BillionShieldsChallenge faceshield,"Manhattan, NY",1298462628524830720
